Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,5-14 years,0,29,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,15-24 years,,215,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,18-29 years,,326,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,25-34 years,,355,12,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,30-49 years,42,"1,145",56,16,,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,35-44 years,14,542,30,,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,45-54 years,59,930,67,28,,101,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,50-64 years,163,"2,821",234,81,15,330,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,55-64 years,126,"2,293",186,62,12,262,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,65-74 years,200,"3,271",280,101,11,390,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,75-84 years,266,"3,351",364,139,,498,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Male,85 years and over,195,"2,407",248,88,,357,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,All Ages,752,"12,279","1,012",311,37,"1,489",
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,Under 1 year,0,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,0-17 years,0,116,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,1-4 years,0,16,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,5-14 years,0,19,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,15-24 years,,76,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,18-29 years,,138,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,25-34 years,,173,11,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,30-49 years,42,742,50,17,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,35-44 years,16,347,19,,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,45-54 years,32,656,58,17,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,50-64 years,97,"1,845",169,50,,225,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,55-64 years,85,"1,483",134,43,,182,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,65-74 years,123,"2,382",205,55,10,283,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,75-84 years,192,"3,084",270,89,,379,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Female,85 years and over,295,"3,972",308,97,,514,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,All Ages,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,Under 1 year,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,0-17 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,25-34 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,30-49 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Arkansas,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,All Sexes,All Ages,"16,663","219,354","22,222","9,335",582,"30,130",
10/28/2020,02/01/2020,10/24/2020,California,Male,All Ages,"9,654","117,119","12,589","5,559",307,"16,989",
10/28/2020,02/01/2020,10/24/2020,California,Male,Under 1 year,,674,12,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Male,0-17 years,,"1,260",22,0,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Male,1-4 years,0,136,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Male,5-14 years,0,209,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Male,15-24 years,25,"2,058",41,12,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Male,18-29 years,65,"3,598",86,25,,132,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Male,25-34 years,117,"3,828",133,54,,205,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Male,30-49 years,765,"10,281",783,430,25,"1,143",
10/28/2020,02/01/2020,10/24/2020,California,Male,35-44 years,331,"4,933",348,182,11,508,
10/28/2020,02/01/2020,10/24/2020,California,Male,45-54 years,865,"8,277",867,497,33,"1,268",
10/28/2020,02/01/2020,10/24/2020,California,Male,50-64 years,"2,289","22,748","2,503","1,343",94,"3,543",
10/28/2020,02/01/2020,10/24/2020,California,Male,55-64 years,"1,782","17,772","1,987","1,053",71,"2,787",
10/28/2020,02/01/2020,10/24/2020,California,Male,65-74 years,"2,352","24,443","2,933","1,387",64,"3,960",
10/28/2020,02/01/2020,10/24/2020,California,Male,75-84 years,"2,205","26,460","3,214","1,307",58,"4,170",
10/28/2020,02/01/2020,10/24/2020,California,Male,85 years and over,"1,976","28,329","3,048","1,067",52,"4,009",
10/28/2020,02/01/2020,10/24/2020,California,Female,All Ages,"7,009","102,232","9,633","3,776",275,"13,141",
10/28/2020,02/01/2020,10/24/2020,California,Female,Under 1 year,0,531,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Female,0-17 years,,908,19,0,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Female,1-4 years,,89,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Female,5-14 years,0,163,11,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Female,15-24 years,24,651,23,,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Female,18-29 years,44,"1,133",59,21,,88,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Female,25-34 years,64,"1,388",84,32,10,126,
10/28/2020,02/01/2020,10/24/2020,California,Female,30-49 years,303,"4,826",377,159,24,545,
10/28/2020,02/01/2020,10/24/2020,California,Female,35-44 years,142,"2,246",177,78,10,251,
10/28/2020,02/01/2020,10/24/2020,California,Female,45-54 years,334,"4,591",424,189,22,591,
10/28/2020,02/01/2020,10/24/2020,California,Female,50-64 years,968,"13,057","1,325",574,59,"1,778",
10/28/2020,02/01/2020,10/24/2020,California,Female,55-64 years,753,"10,265","1,054",448,46,"1,405",
10/28/2020,02/01/2020,10/24/2020,California,Female,65-74 years,"1,298","16,681","1,821",784,48,"2,383",
10/28/2020,02/01/2020,10/24/2020,California,Female,75-84 years,"1,724","23,832","2,436",944,70,"3,286",
10/28/2020,02/01/2020,10/24/2020,California,Female,85 years and over,"2,669","41,795","3,596","1,294",63,"5,034",
10/28/2020,02/01/2020,10/24/2020,California,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Unknown,1-4 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,5-14 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,15-24 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,18-29 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,25-34 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Unknown,30-49 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,California,Unknown,35-44 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,45-54 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,50-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,55-64 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,65-74 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,75-84 years,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,California,Unknown,85 years and over,0,0,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Colorado,All Sexes,All Ages,"2,094","32,707","2,576","1,062",96,"3,699",
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,All Ages,"1,167","17,480","1,434",618,48,"2,029",
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,Under 1 year,0,118,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,0-17 years,,257,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,1-4 years,0,22,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,5-14 years,,48,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,15-24 years,,397,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,18-29 years,,680,,,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,25-34 years,,748,21,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,30-49 years,58,"1,819",80,27,,116,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,35-44 years,20,898,39,10,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,45-54 years,74,"1,251",75,35,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,50-64 years,192,"3,345",246,97,15,356,
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,55-64 years,153,"2,619",196,76,11,284,
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,65-74 years,253,"3,687",349,143,10,469,
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,75-84 years,323,"3,932",407,188,,546,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Male,85 years and over,332,"3,760",342,160,10,522,
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,All Ages,927,"15,226","1,142",444,48,"1,670",
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,Under 1 year,0,117,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,0-17 years,,182,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,1-4 years,0,10,0,0,0,0,
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,5-14 years,0,23,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,15-24 years,,151,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,18-29 years,,229,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,25-34 years,,281,11,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,30-49 years,17,879,45,,,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,35-44 years,10,404,23,,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,45-54 years,24,768,46,12,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,50-64 years,76,"1,999",140,43,14,187,
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,55-64 years,57,"1,535",107,33,11,142,
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,65-74 years,145,"2,547",185,69,,268,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,75-84 years,256,"3,534",321,120,,462,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/28/2020,02/01/2020,10/24/2020,Colorado,Female,85 years and over,430,"5,856",441,205,13,679,
